GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application,Dto.Tripulante,TripulanteDto,0,56,0,0,0,24,0,12,0,12
Application,UsesCases.Queries.Tripulante.GetAll,GetAllTripulanteQuery,0,3,0,0,0,2,0,1,0,1
Application,UsesCases.Queries.Tripulante.GetAll,GetAllTripulanteHandler,0,10,0,0,0,4,0,2,0,2
Application,default,Application,0,17,0,0,0,8,0,2,0,2
Application,UsesCases.Command.Tripulante.Eliminar,EliminarTripulanteHandler,0,33,0,2,0,9,0,3,0,2
Application,UsesCases.Command.Tripulante.Eliminar,EliminarTripulanteCommand,0,12,0,0,0,4,0,1,0,1
Application,Dto.Cargo,CargoDto,0,16,0,0,0,8,0,4,0,4
Application,UsesCases.Command.Tripulante.Editar,EditarTripulanteHandler,6,34,1,1,1,10,1,2,0,2
Application,UsesCases.Command.Tripulante.Editar,EditarTripulanteCommand,0,12,0,0,0,4,0,1,0,1
Application,UsesCases.Queries.Tripulante.GetByKey,GetTripulanteByKeyHandler,0,44,0,2,0,12,0,3,0,2
Application,UsesCases.Queries.Tripulante.GetByKey,GetTripulanteByKeyQuery,0,6,0,0,0,3,0,1,0,1
Application,UsesCases.Command.Tripulante.Crear,CrearTripulanteHandler,0,39,0,0,0,10,0,2,0,2
Application,UsesCases.Command.Tripulante.Crear,CrearTripulanteCommand,0,6,0,0,0,3,0,1,0,1
